Numero,One_Way_Delay_seg
1,0.006713
2,0.000928
3,0.001043
4,0.001244
5,0.001011
6,0.000982
7,0.001260
8,0.001033
9,0.002080
10,0.001097
11,0.001135
12,0.001446
13,0.051276
14,0.004332
15,0.101368
16,0.050876
17,0.002364
18,0.001022
19,0.001551
20,0.000934
21,0.000979
22,0.000887
23,0.001052
24,0.000562
25,0.000949
26,0.000982
27,0.001099
28,0.001035
29,0.101620
30,0.051632
31,0.021375
32,0.001027
33,0.001200
34,0.001241
35,0.000974
36,0.001330
37,0.000992
38,0.001054
39,0.000906
40,0.001153
41,0.001066
42,0.001088
43,0.001093
44,0.000997
45,0.000974
46,0.001054
47,0.001319
48,0.000857
49,0.001033
50,0.001016
51,0.051321
52,0.012790
53,0.000345
54,0.000762
55,0.001002
56,0.001013
57,0.001017
58,0.001020
59,0.000879
60,0.000962
61,0.001001
62,0.000851
63,0.001133
64,0.000588
65,0.000715
66,0.001252
67,0.000999
68,0.001017
69,0.001216
70,0.000851
71,0.000978
72,0.102960
73,0.052854
74,0.005532
75,0.001028
76,0.000408
77,0.000419
78,0.000631
79,0.000913
80,0.000911
81,0.001023
82,0.000961
83,0.000934
84,0.001139
85,0.000980
86,0.001323
87,0.001035
88,0.000968
89,0.051267
90,0.007557
91,0.000554
92,0.000942
93,0.000964
94,0.000436
95,0.001009
96,0.000482
97,0.000859
98,0.001083
99,0.001129
100,0.000820
101,0.000960
102,0.000847
103,0.000524
104,0.000973
105,0.000944
106,0.000983
107,0.001190
108,0.002164
109,0.001100
110,0.101490
111,0.051381
112,0.010034
113,0.000943
114,0.001169
115,0.001065
116,0.000575
117,0.000962
118,0.001088
119,0.000958
120,0.001029
121,0.000921
122,0.001005
123,0.103153
124,0.052947
125,0.005313
126,0.000873
127,0.000926
128,0.000909
129,0.001015
130,0.101479
131,0.051335
132,0.012960
133,0.001015
134,0.000420
135,0.001044
136,0.000627
137,0.001538
138,0.001038
139,0.001060
140,0.000989
141,0.002555
142,0.000948
143,0.001251
144,0.000668
145,0.001049
146,0.001071
147,0.000996
148,0.000995
149,0.000970
150,0.000971
151,0.000892
152,0.000987
153,0.001272
154,0.001010
155,0.001215
156,0.364705
157,0.314527
158,0.264336
159,0.216882
160,0.166751
161,0.116479
162,0.066277
163,0.019406
164,0.001042
165,0.000968
166,0.000920
167,0.000577
168,0.000950
169,0.001075
170,0.001301
171,0.001017
172,0.001257
173,0.000966
174,0.001038
175,0.001137
176,0.000897
177,0.000990
178,0.001152
179,0.000994
180,0.001025
181,0.001148
182,0.001113
183,0.001043
184,0.001140
185,0.000980
186,0.000782
187,0.000993
188,0.001118
189,0.001024
190,0.001073
191,0.000830
192,0.001142
193,0.000926
194,0.001093
195,0.000344
196,0.000635
197,0.001012
198,0.001066
199,0.001041
200,0.001334
201,0.001041
202,0.001009
203,0.001311
204,0.000953
205,0.001320
206,0.001045
207,0.003164
208,0.001193
209,0.000969
210,0.000961
211,0.001046
212,0.001089
213,0.000943
214,0.001155
215,0.000373
216,0.153090
217,0.103184
218,0.052963
219,0.005520
220,0.000543
221,0.001056
222,0.001038
223,0.001163
224,0.001039
225,0.001141
226,0.000982
227,0.000595
228,0.000582
229,0.001021
230,0.001078
231,0.001516
232,0.001045
233,0.001104
234,0.000996
235,0.000411
236,0.001058
237,0.000897
238,0.001007
239,0.001060
240,0.002692
241,0.000972
242,0.001083
243,0.001160
244,0.000971
245,0.000988
246,0.001013
247,0.001293
248,0.000970
249,0.001045
250,0.001066
251,0.000932
252,0.001204
253,0.001012
254,0.000975
255,0.000541
256,0.000479
257,0.000798
258,0.000962
259,0.000989
260,0.001088
261,0.000952
262,0.001033
263,0.001009
264,0.001159
265,0.000978
266,0.001220
267,0.000964
268,0.000991
269,0.001188
270,0.001025
271,0.001002
272,0.001174
273,0.002054
274,0.001114
275,0.000323
276,0.000315
277,0.000931
278,0.000935
279,0.000904
280,0.001013
281,0.001208
282,0.001265
283,0.001111
