frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,_ws.col.info
"1","0.000000000","0.000000000","192.168.100.252","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question"
"2","0.000001000","0.000001000",,,"MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question"
"3","7.918589000","7.918588000","192.168.20.131","192.168.20.144","UDP","53","60161 → 20252 Len=11"
"4","9.012564000","1.093975000","192.168.100.252","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question"
"5","9.012565000","0.000001000",,,"MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question"
"6","10.487942000","1.475377000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"7","10.502071000","0.014129000","192.168.20.131","192.168.20.144","UDP","51","60161 → 20252 Len=9"
"8","13.078150000","2.576079000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"9","13.097152000","0.019002000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"10","16.108100000","3.010948000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"11","16.671485000","0.563385000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"12","16.686974000","0.015489000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"13","19.684880000","2.997906000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"14","19.695670000","0.010790000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"15","20.694441000","0.998771000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"16","20.711053000","0.016612000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
