frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,_ws.col.info
"1","0.000000000","0.000000000","192.168.20.131","192.168.20.144","UDP","53","40741 → 20252 Len=11"
"2","0.019460000","0.019460000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"3","0.046995000","0.027535000","192.168.20.131","192.168.20.144","UDP","51","40741 → 20252 Len=9"
"4","0.065665000","0.018670000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"5","0.078314000","0.012649000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"6","1.090214000","1.011900000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"7","1.109467000","0.019253000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"8","2.120474000","1.011007000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"9","2.141753000","0.021279000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"10","3.156228000","1.014475000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"11","3.177704000","0.021476000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"12","4.196413000","1.018709000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"13","4.213210000","0.016797000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"14","5.225338000","1.012128000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"15","5.242869000","0.017531000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"16","6.257229000","1.014360000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"17","6.261297000","0.004068000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"18","7.267431000","1.006134000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"19","7.271726000","0.004295000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"20","8.274170000","1.002444000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"21","8.279136000","0.004966000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"22","9.284045000","1.004909000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"23","9.294066000","0.010021000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"24","10.303743000","1.009677000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"25","10.318220000","0.014477000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"26","11.330951000","1.012731000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"27","11.344093000","0.013142000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"28","12.357285000","1.013192000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"29","12.377840000","0.020555000","192.168.20.131","192.168.20.144","UDP","1514","40741 → 20252 Len=1472"
"30","13.391666000","1.013826000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"31","13.403922000","0.012256000","192.168.20.131","192.168.20.144","UDP","1414","40741 → 20252 Len=1372"
"32","14.421747000","1.017825000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"33","14.440390000","0.018643000","192.168.20.131","192.168.20.144","UDP","44","40741 → 20252 Len=2"
"34","14.454945000","0.014555000","192.168.20.144","192.168.20.131","UDP","60","20252 → 40741 Len=2"
"35","24.283085000","9.828140000",,,"DHCPv6","110","Information-request XID: 0x8c1c72 CID: 0004f64695c5c5b4fa0b9ed57332f329a415 "
"36","24.284384000","0.001299000","0.0.0.0","255.255.255.255","DHCP","331","DHCP Request  - Transaction ID 0x953436a5"
"37","24.338386000","0.054002000",,,"LLMNR","85","Standard query 0x74a9 ANY nazar"
"38","24.338387000","0.000001000","192.168.100.160","224.0.0.252","LLMNR","65","Standard query 0x1787 ANY nazar"
