Numero,One_Way_Delay_seg
1,0.085138
2,0.110945
3,0.067464
4,0.110598
5,0.126455
6,0.116690
7,0.106468
8,0.056348
9,0.142053
10,0.092009
11,0.120978
12,0.087654
13,0.037430
14,0.117024
15,0.066874
16,0.169663
17,0.119577
18,0.142666
19,0.109459
20,0.059103
21,0.118706
22,0.074136
23,0.149590
24,0.099263
25,0.049011
26,0.133011
27,0.125727
28,0.101725
29,0.141646
30,0.091472
31,0.114553
32,0.064311
33,0.104232
34,0.054167
35,0.046887
36,0.062987
37,0.049511
38,0.085767
39,0.192611
40,0.142484
41,0.092280
42,0.097697
43,0.067647
44,0.103639
45,0.140636
46,0.090537
47,0.132965
48,0.136399
49,0.086490
50,0.092015
51,0.094936
52,0.160726
53,0.110586
54,0.060441
55,0.102786
56,0.079760
57,0.129319
58,0.079269
59,0.111920
60,0.135217
61,0.085028
62,0.104413
63,0.054305
64,0.090175
65,0.060979
66,0.110604
67,0.077265
68,0.106910
69,0.056830
70,0.113363
71,0.085983
72,0.166317
73,0.116203
74,0.141547
75,0.131732
76,0.081473
77,0.047833
78,0.067226
79,0.070375
80,0.133398
81,0.083488
82,0.130012
83,0.103616
84,0.053359
85,0.129262
86,0.079259
87,0.108136
88,0.137608
89,0.087491
90,0.124455
91,0.074419
92,0.070216
93,0.050709
94,0.120536
95,0.070432
96,0.153701
97,0.103771
98,0.119486
99,0.085690
100,0.072508
101,0.061673
102,0.085142
103,0.091497
104,0.054160
105,0.133808
106,0.083657
107,0.096748
108,0.059256
109,0.119535
110,0.158579
111,0.108616
112,0.127918
113,0.077901
114,0.110531
115,0.117251
116,0.103351
117,0.133233
118,0.083279
119,0.139352
120,0.125640
121,0.075295
122,0.120977
123,0.117585
124,0.076772
125,0.153887
126,0.103863
127,0.152493
128,0.102395
129,0.052300
130,0.097919
131,0.123634
132,0.126820
133,0.189592
134,0.139496
135,0.089264
136,0.094289
137,0.120683
138,0.070600
139,0.143400
140,0.123129
141,0.186028
142,0.135927
143,0.122915
144,0.159044
145,0.109286
146,0.065489
147,0.097783
148,0.067735
149,0.110358
150,0.116687
151,0.136908
152,0.086819
153,0.083045
154,0.089888
155,0.072373
156,0.088364
157,0.104924
158,0.054999
159,0.094764
160,0.137333
161,0.087374
162,0.120255
163,0.070164
164,0.083103
165,0.087658
166,0.116183
167,0.082215
168,0.104674
169,0.054327
170,0.183936
171,0.133800
172,0.086505
173,0.089154
174,0.039089
175,0.038610
176,0.092177
177,0.124848
178,0.101001
179,0.050955
180,0.093889
181,0.110139
182,0.073628
183,0.126783
184,0.076947
185,0.116576
186,0.066335
187,0.151791
188,0.101686
189,0.164771
190,0.114626
191,0.094155
192,0.093778
193,0.134741
194,0.084533
195,0.132497
196,0.085535
197,0.128771
198,0.118567
199,0.068197
200,0.130989
201,0.080947
202,0.117421
203,0.067431
204,0.070264
205,0.155073
206,0.104921
207,0.119293
208,0.069157
209,0.062533
210,0.074785
211,0.054733
212,0.054479
213,0.121255
214,0.071244
215,0.116817
216,0.166844
217,0.116665
218,0.103043
219,0.052929
220,0.119233
221,0.069236
222,0.118228
223,0.111410
224,0.061204
225,0.077009
226,0.087390
227,0.076111
228,0.092907
229,0.105953
230,0.100944
231,0.050708
232,0.097195
233,0.123947
234,0.129910
235,0.079570
236,0.119200
237,0.092471
238,0.121748
239,0.107257
240,0.057136
241,0.067445
242,0.167311
243,0.117270
244,0.067058
245,0.110260
246,0.059915
247,0.085668
248,0.118732
249,0.152063
250,0.101719
251,0.094660
252,0.117956
253,0.067857
254,0.113923
255,0.064092
256,0.166651
257,0.116396
258,0.153209
259,0.103136
260,0.119101
261,0.069575
262,0.078354
263,0.074882
264,0.167889
265,0.117893
266,0.183586
267,0.133375
268,0.083148
269,0.129322
270,0.079227
271,0.115791
272,0.065795
273,0.081986
274,0.144854
275,0.094630
276,0.138190
277,0.088041
278,0.126497
279,0.086307
280,0.036049
281,0.085718
282,0.142278
283,0.105665
284,0.055149
285,0.104234
286,0.054423
287,0.123706
288,0.073613
289,0.065960
290,0.109563
291,0.168888
292,0.118743
293,0.104788
294,0.086950
295,0.083972
296,0.093072
297,0.059984
298,0.075937
299,0.045132
300,0.104956
301,0.087911
302,0.127624
303,0.077747
304,0.103970
305,0.054020
306,0.085832
307,0.092577
308,0.078394
309,0.028167
310,0.094394
311,0.131052
312,0.164379
313,0.114464
314,0.136980
315,0.086817
316,0.096427
317,0.122990
318,0.142734
319,0.092665
320,0.128618
321,0.097509
322,0.047326
323,0.087382
324,0.056659
325,0.079215
326,0.102547
327,0.105236
328,0.055188
329,0.084816
330,0.054501
331,0.080869
332,0.063756
333,0.096687
334,0.096260
