Numero,One_Way_Delay_seg
1,0.004738
2,0.000893
3,0.000987
4,0.001288
5,0.000936
6,0.000909
7,0.001094
8,0.000879
9,0.000907
10,0.000933
11,0.000432
12,0.000970
13,0.000964
14,0.000848
15,0.001170
16,0.002064
17,0.000899
18,0.001063
19,0.000942
20,0.000943
21,0.001035
22,0.000964
23,0.000820
24,0.001023
25,0.000793
26,0.000900
27,0.001028
28,0.000861
29,0.000911
30,0.001053
31,0.000457
32,0.000872
33,0.001123
34,0.000433
35,0.000495
36,0.000614
37,0.001074
38,0.000572
39,0.000901
40,0.000852
41,0.000997
42,0.001080
43,0.001018
44,0.001047
45,0.000808
46,0.000905
47,0.000785
48,0.000872
49,0.002703
50,0.000933
51,0.000441
52,0.001124
53,0.000895
54,0.001199
55,0.001030
56,0.000863
57,0.000745
58,0.000900
59,0.000951
60,0.000878
61,0.001152
62,0.000860
63,0.001162
64,0.000868
65,0.000846
66,0.000979
67,0.000956
68,0.000876
69,0.000841
70,0.000861
71,0.000695
72,0.000864
73,0.000902
74,0.000472
75,0.000591
76,0.000933
77,0.001046
78,0.001874
79,0.000931
80,0.001104
81,0.000872
82,0.000940
83,0.001137
84,0.000927
85,0.000766
86,0.000791
87,0.001049
88,0.000923
89,0.000884
90,0.000773
91,0.000603
92,0.001044
93,0.001101
94,0.000979
95,0.000885
96,0.001007
97,0.000844
98,0.000803
99,0.001027
100,0.001096
101,0.000984
102,0.001036
103,0.000956
104,0.000879
105,0.000941
106,0.000919
107,0.001022
108,0.000884
109,0.000893
110,0.000405
111,0.000910
112,0.000962
113,0.000919
114,0.000887
115,0.000389
116,0.001022
117,0.000818
118,0.000906
119,0.000978
120,0.000929
121,0.000906
122,0.001074
123,0.000931
124,0.000995
125,0.000846
126,0.001004
127,0.000946
128,0.000918
129,0.001020
130,0.000439
131,0.000900
132,0.001051
133,0.000947
134,0.001029
135,0.000828
136,0.000951
137,0.000946
138,0.000867
139,0.000814
140,0.000885
141,0.000944
142,0.001061
143,0.000991
144,0.000945
145,0.001107
146,0.000928
147,0.000930
148,0.003862
149,0.000517
150,0.000378
151,0.001001
152,0.001030
153,0.000980
154,0.000815
155,0.000304
156,0.001044
157,0.000800
158,0.001095
159,0.000921
160,0.001081
161,0.001076
162,0.000833
163,0.000989
164,0.000867
165,0.000918
166,0.000933
167,0.000988
168,0.001184
169,0.000937
170,0.000503
171,0.000943
172,0.000933
173,0.000831
174,0.000935
175,0.000967
176,0.000903
177,0.000595
178,0.000889
179,0.000867
180,0.001125
181,0.002666
182,0.000841
183,0.001054
184,0.000873
185,0.001030
186,0.000930
187,0.001097
188,0.000821
189,0.001046
190,0.000448
191,0.000876
192,0.000866
193,0.000996
194,0.001010
195,0.000982
196,0.000482
197,0.000555
198,0.000843
199,0.000841
200,0.001010
201,0.000736
202,0.001069
203,0.000977
204,0.000311
205,0.000457
206,0.000533
207,0.000828
208,0.000956
209,0.000314
210,0.000855
211,0.001077
212,0.000937
213,0.000934
214,0.003675
215,0.000845
216,0.001005
217,0.001034
218,0.000786
219,0.000918
220,0.001012
221,0.001521
222,0.000920
223,0.000873
224,0.001033
225,0.000871
226,0.000832
227,0.000905
228,0.001186
229,0.000408
230,0.000837
231,0.000813
232,0.001051
233,0.000913
234,0.000865
235,0.000965
236,0.000311
237,0.000501
238,0.001155
239,0.000801
240,0.000923
241,0.001131
242,0.000925
243,0.000886
244,0.000940
245,0.000921
246,0.001254
247,0.000905
248,0.000876
249,0.000415
250,0.000637
251,0.000874
252,0.000953
253,0.001164
254,0.000842
255,0.001006
256,0.000909
257,0.001034
258,0.000953
259,0.000896
260,0.000923
261,0.000861
262,0.001104
263,0.000862
264,0.000917
265,0.001023
266,0.000804
267,0.001115
268,0.000905
269,0.000462
270,0.001143
271,0.000847
272,0.001129
273,0.001014
274,0.001007
275,0.001027
276,0.000851
277,0.001099
278,0.001022
279,0.000953
280,0.001175
281,0.000762
282,0.000860
283,0.001135
284,0.000827
285,0.000830
286,0.001046
287,0.000973
288,0.001082
289,0.000513
290,0.000846
291,0.000886
292,0.001220
293,0.000955
294,0.001142
295,0.001177
296,0.000958
297,0.001130
298,0.000984
299,0.000936
300,0.000930
301,0.000907
302,0.001041
303,0.000993
304,0.000903
305,0.001020
306,0.000833
307,0.000926
308,0.001117
309,0.000499
310,0.000869
311,0.000912
312,0.000987
313,0.000999
314,0.000834
315,0.000827
316,0.001089
317,0.000337
318,0.000797
319,0.001057
320,0.000854
321,0.000906
322,0.001020
323,0.001096
324,0.001041
325,0.000949
326,0.000887
327,0.001037
328,0.000778
329,0.000805
330,0.000789
331,0.000853
332,0.000795
333,0.000893
334,0.001007
335,0.000859
336,0.000894
337,0.001011
338,0.000845
339,0.001062
340,0.000925
341,0.001045
342,0.001066
343,0.000838
344,0.000801
345,0.000867
346,0.000826
347,0.001201
348,0.000396
349,0.000869
350,0.000908
351,0.000839
352,0.001068
353,0.000891
354,0.000964
355,0.001250
356,0.000929
357,0.000967
358,0.000762
359,0.000585
360,0.001036
361,0.000989
362,0.000947
363,0.000957
364,0.000944
365,0.000955
366,0.000847
367,0.000941
368,0.000383
369,0.000823
370,0.000884
371,0.000884
372,0.001029
373,0.001009
374,0.000991
375,0.001265
376,0.000771
377,0.000920
378,0.000923
379,0.001046
380,0.000844
381,0.001038
382,0.000858
383,0.000834
384,0.000976
385,0.000832
386,0.001182
387,0.000879
388,0.000442
389,0.001197
390,0.000871
391,0.001153
392,0.000867
393,0.001277
394,0.000891
395,0.000625
396,0.001027
397,0.000893
398,0.000317
399,0.000893
400,0.001001
401,0.000858
402,0.000768
403,0.000886
404,0.000405
405,0.001126
406,0.000792
407,0.000901
408,0.001149
409,0.000851
410,0.000841
411,0.001069
412,0.000811
413,0.000879
414,0.001093
415,0.000819
416,0.000861
417,0.001096
418,0.000939
419,0.000981
420,0.001003
421,0.000842
422,0.001120
423,0.001069
424,0.000969
425,0.001052
426,0.000831
427,0.001094
428,0.000571
429,0.000908
430,0.000995
431,0.000824
432,0.000961
433,0.001005
434,0.000909
435,0.000419
436,0.000898
437,0.000864
438,0.000295
439,0.000606
440,0.001111
441,0.000785
442,0.001111
443,0.000839
444,0.000915
445,0.001077
446,0.000725
447,0.000968
448,0.000796
449,0.001360
450,0.000853
451,0.001110
452,0.000844
453,0.000995
454,0.000911
455,0.001080
456,0.000851
457,0.001039
458,0.000881
459,0.000957
460,0.001089
461,0.000859
462,0.000969
463,0.000908
464,0.001053
465,0.000864
466,0.001106
467,0.000394
468,0.000752
469,0.000838
470,0.000957
471,0.000843
472,0.000906
473,0.001182
474,0.002079
475,0.001032
476,0.000905
477,0.000858
478,0.000972
479,0.000408
480,0.001224
481,0.000973
482,0.000997
483,0.001143
484,0.000845
485,0.000971
486,0.001056
487,0.000358
488,0.000717
489,0.000900
490,0.000897
491,0.000936
492,0.000902
493,0.001034
494,0.001106
495,0.000906
496,0.000922
497,0.000981
498,0.000874
499,0.001086
500,0.000861
501,0.000967
502,0.001091
503,0.000916
504,0.000982
505,0.001115
506,0.001000
507,0.000428
508,0.001045
509,0.000655
510,0.000981
511,0.000947
512,0.000800
513,0.000872
514,0.000936
515,0.000866
516,0.000960
517,0.001079
518,0.000891
519,0.000306
520,0.000614
521,0.001260
522,0.000834
523,0.001079
524,0.000932
525,0.001162
526,0.000914
527,0.000508
528,0.000423
529,0.001086
530,0.000797
531,0.000874
532,0.000970
533,0.000897
534,0.000847
535,0.000917
536,0.000968
537,0.001055
538,0.000839
539,0.000916
540,0.003385
541,0.000883
542,0.000913
543,0.000949
544,0.000944
545,0.000808
546,0.001017
547,0.000453
548,0.000938
549,0.001060
550,0.000877
551,0.000992
552,0.000836
553,0.000952
554,0.000875
555,0.000988
556,0.000804
557,0.001028
558,0.001074
559,0.000328
560,0.000725
561,0.000767
562,0.000913
563,0.000793
564,0.000931
565,0.000860
566,0.001440
567,0.000594
568,0.000975
569,0.001098
570,0.000913
571,0.001093
572,0.000864
573,0.000459
574,0.000933
575,0.000904
576,0.000900
577,0.000963
578,0.000936
579,0.000900
580,0.001051
581,0.000874
582,0.000896
583,0.001028
584,0.000854
585,0.000821
586,0.000307
587,0.000872
588,0.000928
589,0.000790
590,0.000984
591,0.000915
592,0.000773
593,0.000867
594,0.000493
595,0.001070
596,0.000859
