frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,_ws.col.info
"1","0.000000000","0.000000000","192.168.20.131","192.168.20.144","UDP","53","59822 → 20252 Len=11"
"2","0.196764000","0.196764000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"3","0.222857000","0.026093000","192.168.20.131","192.168.20.144","UDP","51","59822 → 20252 Len=9"
"4","0.416600000","0.193743000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"5","0.430185000","0.013585000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"6","1.626755000","1.196570000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"7","1.644138000","0.017383000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"8","2.837258000","1.193120000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"9","2.853235000","0.015977000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"10","4.047009000","1.193774000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"11","4.063180000","0.016171000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"12","5.260498000","1.197318000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"13","5.274010000","0.013512000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"14","6.467162000","1.193152000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"15","6.482759000","0.015597000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"16","7.673535000","1.190776000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"17","7.687169000","0.013634000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"18","8.880488000","1.193319000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"19","8.894772000","0.014284000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"20","10.087351000","1.192579000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"21","10.100840000","0.013489000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"22","10.265022000","0.164182000","192.168.100.4","224.0.0.251","MDNS","122","Standard query 0x0000 SRV b866v2-ad079093117c3da38ba33a0eae47a8f2._googlecast._tcp.local, "QM" question"
"23","10.265022000","0.000000000",,,"MDNS","142","Standard query 0x0000 SRV b866v2-ad079093117c3da38ba33a0eae47a8f2._googlecast._tcp.local, "QM" question"
"24","10.367664000","0.102642000","192.168.100.3","224.0.0.251","MDNS","189","Standard query response 0x0000 SRV, cache flush 0 0 8009 ad079093-117c-3da3-8ba3-3a0eae47a8f2.local A, cache flush 192.168.100.3"
"25","10.367664000","0.000000000",,,"MDNS","221","Standard query response 0x0000 SRV, cache flush 0 0 8009 ad079093-117c-3da3-8ba3-3a0eae47a8f2.local AAAA, cache flush 2803:9800:901c:426d:6b8f:c6be:2144:5b7f"
"26","10.777822000","0.410158000","192.168.100.4","224.0.0.251","MDNS","122","Standard query 0x0000 SRV b866v2-d3ca8946be78a64c1578e591d3e47499._googlecast._tcp.local, "QM" question"
"27","10.777822000","0.000000000",,,"MDNS","142","Standard query 0x0000 SRV b866v2-d3ca8946be78a64c1578e591d3e47499._googlecast._tcp.local, "QM" question"
"28","10.777822000","0.000000000","192.168.100.4","224.0.0.251","MDNS","189","Standard query response 0x0000 SRV, cache flush 0 0 8009 d3ca8946-be78-a64c-1578-e591d3e47499.local A, cache flush 192.168.100.4"
"29","10.777823000","0.000001000",,,"MDNS","221","Standard query response 0x0000 SRV, cache flush 0 0 8009 d3ca8946-be78-a64c-1578-e591d3e47499.local AAAA, cache flush 2803:9800:901c:426d:b844:1054:b7aa:8a02"
"30","10.880620000","0.102797000","192.168.100.4","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question"
"31","10.880621000","0.000001000",,,"MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question"
"32","10.880621000","0.000000000",,,"MDNS","418","Standard query response 0x0000 PTR B866V2-d3ca8946be78a64c1578e591d3e47499._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 d3ca8946-be78-a64c-1578-e591d3e47499.local AAAA, cache flush 2803:9800:901c:426d:b844:1054:b7aa:8a02"
"33","10.982610000","0.101989000","192.168.100.3","224.0.0.251","MDNS","386","Standard query response 0x0000 PTR B866V2-ad079093117c3da38ba33a0eae47a8f2._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 ad079093-117c-3da3-8ba3-3a0eae47a8f2.local A, cache flush 192.168.100.3"
"34","10.982611000","0.000001000",,,"MDNS","418","Standard query response 0x0000 PTR B866V2-ad079093117c3da38ba33a0eae47a8f2._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 ad079093-117c-3da3-8ba3-3a0eae47a8f2.local AAAA, cache flush 2803:9800:901c:426d:6b8f:c6be:2144:5b7f"
"35","11.293562000","0.310951000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"36","11.308149000","0.014587000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"37","11.493807000","0.185658000","192.168.100.4","224.0.0.251","MDNS","102","Standard query 0x0000 A ad079093-117c-3da3-8ba3-3a0eae47a8f2.local, "QM" question"
"38","11.493807000","0.000000000",,,"MDNS","122","Standard query 0x0000 A ad079093-117c-3da3-8ba3-3a0eae47a8f2.local, "QM" question"
"39","12.496860000","1.003053000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
"40","12.511299000","0.014439000","192.168.20.131","192.168.20.144","UDP","1514","59822 → 20252 Len=1472"
"41","13.703881000","1.192582000","192.168.20.144","192.168.20.131","UDP","60","20252 → 59822 Len=2"
